Tarih,Model,Fiyat,Durum,Detay
2025-11-25 16:07:55,1.5 Dream Multidrive S,1334500.0,Takip Başladı,Kaynak: XML v3
2025-11-25 16:11:14,1.5 Dream Multidrive S,1334500.0,FİYAT DEĞİŞTİ,Kaynak: XML v3
2025-11-25 16:11:40,1.5 Dream Multidrive S,1334500.0,FİYAT DEĞİŞTİ,Kaynak: XML v3
2025-11-25 16:13:18,1.5 Dream Multidrive S (2025),1780000.0,DEĞİŞİM VAR,V3-Filtered
2025-11-25 16:13:23,1.5 Dream Multidrive S (2025),1790000.0,DEĞİŞİM VAR,V3-Filtered
2025-11-25 16:19:50,1.5 Dream Multidrive S (2025),1790000.0,DEĞİŞİM VAR,V3-Filtered
2025-11-25 16:20:43,1.5 Dream Multidrive S (2025),17990000.0,FİYAT DEĞİŞTİ,V3-Fixed
2025-11-25 16:23:09,1.5 Dream Multidrive S (2025),1790000.0,DEĞİŞİM VAR,AutoYear
2025-11-25 16:25:02,1.5 Dream Multidrive S (2025),1780003.0,FİYAT DEĞİŞTİ,V3-Fixed
2025-11-25 16:25:51,1.5 Dream Multidrive S (2025),1780001.0,DEĞİŞİM VAR,AutoYear
2025-11-26 10:10:00,1.5 Dream Multidrive S (2025),1780009.0,DEĞİŞİM VAR,AutoYear
2025-12-03 11:20:11,1.5 Dream Multidrive S (2025),1780000.0,DEĞİŞİM VAR,AutoYear
2025-12-10 11:41:52,1.5 Dream Multidrive S (2025),1780000.0,Haftalık Rapor,Weekly
2025-12-15 13:19:07,1.5 Dream Multidrive S (2025),1780010.0,Haftalık Rapor,Weekly
2025-12-17 09:18:33,1.5 Dream Multidrive S (2025),1781000.0,DEĞİŞİM VAR,Auto
2025-12-17 11:28:30,1.5 Dream Multidrive S (2025),1780000.0,DEĞİŞİM VAR,Auto
2025-12-22 13:18:59,1.5 Dream Multidrive S (2025),1780000.0,Rapor: Fiyat Aynı,Weekly
2025-12-29 13:18:59,1.5 Dream Multidrive S (2025),1780000.0,Rapor: Fiyat Aynı,Weekly
2026-01-01 11:28:30,1.5 Dream Multidrive S (2026),1850000.0,DEĞİŞİM VAR,Auto
2026-01-05 13:18:59,1.5 Dream Multidrive S (2026),1850000.0,Rapor: Fiyat Aynı,Weekly
2026-01-12 13:19:01,1.5 Dream Multidrive S (2026),1850000.0,Rapor: Fiyat Aynı,Weekly
2026-01-19 13:19:00,1.5 Dream Multidrive S (2026),1850000.0,Rapor: Fiyat Aynı,Weekly
2026-01-26 13:18:59,1.5 Dream Multidrive S (2026),1850000.0,Rapor: Fiyat Aynı,Weekly
2026-02-01 11:28:30,1.5 Dream Multidrive S (2026),1940000.0,DEĞİŞİM VAR,Auto
2026-02-02 13:19:00,1.5 Dream Multidrive S (2026),1940000.0,Rapor: Fiyat Aynı,Weekly
2026-02-09 13:18:59,1.5 Dream Multidrive S (2026),1940000.0,Rapor: Fiyat Aynı,Weekly
2026-02-16 13:19:01,1.5 Dream Multidrive S (2026),1940000.0,Rapor: Fiyat Aynı,Weekly
2026-02-23 13:19:09,1.5 Dream Multidrive S (2026),1940000.0,Rapor: Fiyat Aynı,Weekly
2026-03-01 11:28:30,1.5 Dream Multidrive S (2026),1995000.0,DEĞİŞİM VAR,Auto
2026-03-02 13:19:01,1.5 Dream Multidrive S (2026),1995000.0,Rapor: Fiyat Aynı,Weekly
2026-03-09 13:18:59,1.5 Dream Multidrive S (2026),1995000.0,Rapor: Fiyat Aynı,Weekly
2026-03-16 13:18:59,1.5 Dream Multidrive S (2026),1995000.0,Rapor: Fiyat Aynı,Weekly
2026-03-23 13:19:01,1.5 Dream Multidrive S (2026),1995000.0,Rapor: Fiyat Aynı,Weekly
2026-03-30 13:18:59,1.5 Dream Multidrive S (2026),1995000.0,Rapor: Fiyat Aynı,Weekly
2026-04-01 11:28:30,1.5 Dream Multidrive S (2026),2040000.0,DEĞİŞİM VAR,Auto
2026-04-06 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-04-13 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-04-20 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-04-27 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-05-04 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-05-11 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-05-18 13:19:00,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-05-25 13:19:03,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-06-01 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-06-08 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-06-15 13:18:58,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-06-22 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-06-29 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
2026-07-06 13:18:59,1.5 Dream Multidrive S (2026),2040000.0,Rapor: Fiyat Aynı,Weekly
